Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,42.0,-29.0,0.0,top
C2,10uF,C_0805_2012Metric,42.0,-26.5,0.0,top
D1,20V 1A,D_SOD-123,41.5,-31.5,180.0,top
D2,LED 20 mA @2V,LED_0805_2012Metric,49.0,-36.868,90.0,top
D3,LED 20 mA @2V,LED_0805_2012Metric,46.5,-36.868,-90.0,top
J1,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,45.0,-5.5,180.0,top
J2,Conn_02x07_Top_Bottom,Adafruit QT PY,25.0,-30.0,0.0,top
J3,Conn_02x25_Top_Bottom,Hirose_FH12-50S-0.5SH_1x50-1MP_P0.50mm_Horizontal,25.0,-8.34,180.0,top
J4,Micro_SD_Card,microSD_HC_Molex_104031-0811,7.0,-31.5,0.0,top
R1,10K,R_0805_2012Metric,43.0,-21.12,0.0,top
R2,100K,R_0805_2012Metric,42.9625,-18.58,180.0,top
R3,68,R_0805_2012Metric,46.5,-33.058,-90.0,top
R4,100K,R_0805_2012Metric,42.9625,-16.04,0.0,top
R5,68,R_0805_2012Metric,49.0,-33.0,-90.0,top
R6,10,R_0805_2012Metric,5.0,-16.5,0.0,top
R7,10,R_0805_2012Metric,5.0,-14.5,0.0,top
R8,10K,R_0805_2012Metric,5.0,-8.5,180.0,top
R9,10,R_0805_2012Metric,5.0,-12.5,0.0,top
R10,10,R_0805_2012Metric,5.0,-10.5,0.0,top
SW1,SW_SPDT,SW_SPDT_CK-JS102011SAQN,40.17,-37.63,0.0,top
U1,MCP73831-2-OT,SOT-23-5,48.0,-27.0,90.0,top
U2,MCP100-315D,SOT-23,5.0,-5.5,-90.0,top
